INFO  - 2014-04-22 11:03:00.278; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2014-04-22 11:03:00.278; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/icu4j-52.1.jar' to classloader
INFO  - 2014-04-22 11:03:00.278; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-04-22 11:03:00.278; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-04-22 11:03:00.279; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2014-04-22 11:03:00.279; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-04-22 11:03:00.279; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-04-22 11:03:00.279; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-04-22 11:03:00.280; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2014-04-22 11:03:00.280; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2014-04-22 11:03:00.280; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2014-04-22 11:03:00.280; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2014-04-22 11:03:00.281; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2014-04-22 11:03:00.281; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-04-22 11:03:00.284; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-04-22 11:03:00.284; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2014-04-22 11:03:00.285; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2014-04-22 11:03:00.285; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/tika-xmp-1.4.jar' to classloader
INFO  - 2014-04-22 11:03:00.286; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-04-22 11:03:00.286; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-04-22 11:03:00.287; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-04-22 11:03:00.287; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-04-22 11:03:00.288; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-04-22 11:03:00.288; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2014-04-22 11:03:00.290; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/dist/solr-cell-4.7.2.jar' to classloader
INFO  - 2014-04-22 11:03:00.292; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2014-04-22 11:03:00.292; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2014-04-22 11:03:00.293; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-04-22 11:03:00.293; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-04-22 11:03:00.293; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-04-22 11:03:00.294; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-04-22 11:03:00.294; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-04-22 11:03:00.295; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-04-22 11:03:00.296; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/dist/solr-clustering-4.7.2.jar' to classloader
INFO  - 2014-04-22 11:03:00.296; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-04-22 11:03:00.297; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-04-22 11:03:00.298; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/dist/solr-langid-4.7.2.jar' to classloader
INFO  - 2014-04-22 11:03:00.298; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-04-22 11:03:00.299; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-04-22 11:03:00.299; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-04-22 11:03:00.299; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-04-22 11:03:00.300; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/per/dev/ir14_project/solr-4.7.2/dist/solr-velocity-4.7.2.jar' to classloader
INFO  - 2014-04-22 11:03:00.475; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-04-22 11:03:00.482; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_47
INFO  - 2014-04-22 11:03:00.656; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-04-22 11:03:00.663; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-04-22 11:03:00.762; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-04-22 11:03:01.506; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-04-22 11:03:01.636; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-04-22 11:03:01.646; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-04-22 11:03:01.819; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-04-22 11:03:01.829; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/per/dev/ir14_project/solr-4.7.2/example/solr/collection1/, dataDir=/Users/per/dev/ir14_project/solr-4.7.2/example/solr/collection1/data/
INFO  - 2014-04-22 11:03:01.831; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-04-22 11:03:01.836; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-04-22 11:03:01.837; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
